Species	Code	Climate	ID	C0	C1	E0	E1	Codi	X	Y	Latitude	Longitude	Prec	Temp	Martonne	Elevation	Slope	Aspect
Pinus pinaster	PIPR	Xeric	PIPR_Xeric	9.784	0.937	-1.7298	-0.005	171820	513038	4656006	42.055257	3.157559	593.05	16.35	22.51	65	3.18	192.99
Pinus pinaster	PIPR	Mesic	PIPR_Mesic	9.784	0.937	-1.7298	-0.005	171970	477011	4645985	41.964777	2.72258	694.7	16.2	26.52	124	18.57	313.99
Pinus pinaster	PIPR	Humid	PIPR_Humid	9.784	0.937	-1.7298	-0.005	430695	332984	4569992	41.263378	1.006301	673.78	12.48	29.97	920	16.06	202.11
Pinus halepensis	PIHA	Mesic	PIHA_Mesic	7.982	1.506	-1.7009	-0.0109	81266	403980	4633012	41.842448	1.843495	526.4	15.2	20.89	484	21.82	182.38
Pinus halepensis	PIHA	Humid	PIHA_Humid	7.982	1.506	-1.7009	-0.0109	171142	475999	4669014	42.172151	2.709423	700.04	16.07	26.85	186	33.71	177.85
Pinus halepensis	PIHA	Xeric	PIHA_Xeric	7.982	1.506	-1.7009	-0.0109	253195	303974	4580042	41.347312	0.657022	369.1	15.5	14.47	439	22.23	230.79
Pinus pinea	PIPA	Mesic	PIPA_Mesic	13.426	0	-2.2647	0.0051	82313	454038	4614026	41.675942	2.44784	649.16	16.39	24.6	200	15.04	187.12
Pinus pinea	PIPA	Xeric	PIPA_Xeric	13.426	0	-2.2647	0.0051	83075	448980	4599996	41.549273	2.388275	544.36	16.53	20.52	212	16.05	34.38
Pinus pinea	PIPA	Humid	PIPA_Humid	13.426	0	-2.2647	0.0051	172332	491949	4641035	41.92049	2.902912	717.76	15.51	28.14	286	21.18	343.12
Pinus nigra	PINI	Xeric	PINI_Xeric	11.819	0.29	-1.8759	0	80992	398022	4634002	41.850618	1.771579	520.78	15.71	20.26	376	6.18	247.38
Pinus nigra	PINI	Humid	PINI_Humid	11.819	0.29	-1.8759	0	251685	379028	4678030	42.244344	1.533756	782.1	11.41	36.53	1156	19.97	216.61
Pinus nigra	PINI	Mesic	PINI_Mesic	11.819	0.29	-1.8759	0	252467	382030	4658966	42.073164	1.57399	597.68	13.95	24.96	734	29.72	270.42
Pinus sylvestris	PISY	Mesic	PISY_Mesic	12.619	0	-1.795	0.0012	80273	396982	4663017	42.111743	1.753971	806.5	11.84	36.93	1113	9.72	288.43
Pinus sylvestris	PISY	Humid	PISY_Humid	12.619	0	-1.795	0.0012	250435	362064	4717014	42.592461	1.318873	1053.15	9.18	54.91	1479	37.92	32.33
Pinus sylvestris	PISY	Xeric	PISY_Xeric	12.619	0	-1.795	0.0012	430720	341000	4569000	41.256064	1.102196	605.56	14.44	24.78	600	23.98	347
Pinus uncinata	PIUN	Xeric	PIUN_Xeric	12.619	0	-1.795	0.0012	170354	426008	4683959	42.3036	2.102332	875.18	11.1	41.48	1201	12.19	109.13
Pinus uncinata	PIUN	Humid	PIUN_Humid	12.619	0	-1.795	0.0012	250322	321000	4715000	42.565904	0.819341	1291.8	4.88	86.81	2110	13.35	30.62
Pinus uncinata	PIUN	Mesic	PIUN_Mesic	12.619	0	-1.795	0.0012	252051	373035	4668035	42.153409	1.463325	986.61	6.55	59.61	1944	8.41	310.43
